	ath	vvi
OG0000388	AT1G33430, AT1G77810	GSVIVG01008948001, GSVIVG01022413001, GSVIVG01037121001
OG0000389	AT1G33560, AT4G33300, AT5G04720, AT5G47280	GSVIVG01009576001
OG0000390	AT1G33840, AT3G11740, AT5G01750	GSVIVG01030235001, GSVIVG01030237001
OG0000391	AT1G34460, AT3G11520, AT5G06150	GSVIVG01025781001, GSVIVG01032782001
OG0000392	AT1G35290, AT1G68260, AT1G68280	GSVIVG01011876001, GSVIVG01011878001
OG0000393	AT1G35720, AT5G10220, AT5G10230, AT5G65020	GSVIVG01009021001
OG0000394	AT1G37140, AT5G07930	GSVIVG01003988001, GSVIVG01008932001, GSVIVG01024201001
OG0000395	AT1G44542, AT4G34180, AT4G35220	GSVIVG01003170001, GSVIVG01003172001
OG0000396	AT1G45050, AT1G75440, AT5G42990	GSVIVG01009784001, GSVIVG01018860001
OG0000397	AT1G45545, AT2G26570, AT4G33390, AT5G42880	GSVIVG01009499001
OG0000398	AT1G47056, AT3G50080, AT4G07400, AT5G67250	GSVIVG01000227001
OG0000399	AT1G47240, AT2G23150, AT5G67330	GSVIVG01000173001, GSVIVG01009387001
OG0000400	AT1G47490, AT1G47500, AT3G19130	GSVIVG01009558001, GSVIVG01031780001
OG0000401	AT1G47710, AT2G25240, AT2G26390, AT3G45220	GSVIVG01009578001
OG0000402	AT1G49030, AT3G18450, AT3G18460, AT3G18470	GSVIVG01008259001
OG0000403	AT1G49390, AT5G20400, AT5G20550, AT5G54000	GSVIVG01012842001
OG0000404	AT1G51060, AT3G20670, AT4G27230, AT5G54640	GSVIVG01014580001
OG0000405	AT1G51580, AT5G53060	GSVIVG01009261001, GSVIVG01029591001, GSVIVG01038571001
OG0000406	AT1G54110, AT3G55600	GSVIVG01025934001, GSVIVG01029263001, GSVIVG01033604001
OG0000407	AT1G54610, AT5G50860	GSVIVG01008613001, GSVIVG01017805001, GSVIVG01021907001
OG0000408	AT1G55330, AT3G13520, AT4G26320, AT5G56540	GSVIVG01025466001
OG0000409	AT1G55610, AT3G13380, AT4G39400	GSVIVG01014856001, GSVIVG01022261001
OG0000410	AT1G55790, AT1G55803	GSVIVG01014811001, GSVIVG01014829001, GSVIVG01014831001
OG0000411	AT1G56120, AT1G56130, AT1G56140	GSVIVG01029718001, GSVIVG01029720001
OG0000412	AT1G60420	GSVIVG01013749001, GSVIVG01013750001, GSVIVG01013755001, GSVIVG01013758001
OG0000413	AT1G60970, AT3G09800, AT4G08520	GSVIVG01016804001, GSVIVG01021391001
OG0000414	AT1G62810, AT3G43670, AT4G12270, AT4G12290	GSVIVG01019873001
OG0000415	AT1G63310, AT2G20362, AT2G46630	GSVIVG01027399001, GSVIVG01027401001
OG0000416	AT1G63500, AT4G00710, AT5G41260	GSVIVG01019759001, GSVIVG01026892001
OG0000417	AT1G64140, AT5G09670, AT5G64550	GSVIVG01019448001, GSVIVG01038733001
OG0000418	AT1G64230, AT4G27960, AT5G41700	GSVIVG01025872001, GSVIVG01027045001
OG0000419	AT1G64355	GSVIVG01019510001, GSVIVG01027066001, GSVIVG01027067001, GSVIVG01027068001
OG0000420	AT1G65350, AT4G02890, AT5G03240, AT5G20620	GSVIVG01023461001
OG0000421	AT1G65810	GSVIVG01028736001, GSVIVG01028738001, GSVIVG01028739001, GSVIVG01028740001
OG0000422	AT1G67090, AT5G38410, AT5G38420, AT5G38430	GSVIVG01008288001
OG0000423	AT1G67890, AT3G06620, AT3G06630, AT3G06640	GSVIVG01034988001
OG0000424	AT1G68380, AT1G68390	GSVIVG01008320001, GSVIVG01008321001, GSVIVG01011858001
OG0000425	AT1G68490, AT3G02555, AT5G16110	GSVIVG01011892001, GSVIVG01031028001
OG0000426	AT1G69085, AT3G02290, AT5G15790	GSVIVG01012252001, GSVIVG01036545001
OG0000427	AT1G72610, AT5G20630	GSVIVG01016761001, GSVIVG01028588001, GSVIVG01028594001
OG0000428	AT1G73700, AT2G34360, AT5G52450	GSVIVG01008369001, GSVIVG01008370001
OG0000429	AT1G75130	GSVIVG01009671001, GSVIVG01009676001, GSVIVG01009677001, GSVIVG01009678001
OG0000430	AT1G75820, AT3G49670, AT5G65700	GSVIVG01004465001, GSVIVG01009941001
OG0000431	AT1G78290	GSVIVG01002389001, GSVIVG01003419001, GSVIVG01004839001, GSVIVG01009074001
OG0000432	AT1G80640, AT2G25220, AT4G32000	GSVIVG01017568001, GSVIVG01035915001
OG0000433	AT2G04390, AT2G05220, AT3G10610, AT5G04800	GSVIVG01033920001
OG0000434	AT2G07040, AT4G31250, AT5G35390	GSVIVG01032263001, GSVIVG01035571001
OG0000435	AT2G07675, ATCG00905, ATCG01230, ATMG00980	GSVIVG01002752001
OG0000436	AT2G15730, AT3G50620, AT4G34420	GSVIVG01022153001, GSVIVG01031779001
OG0000437	AT2G16290, AT2G16300, AT2G16365, AT4G34550	GSVIVG01023803001
OG0000438	AT2G16510, AT4G34720, AT4G38920	GSVIVG01008858001, GSVIVG01024165001
OG0000439	AT2G17360, AT5G07090, AT5G58420	GSVIVG01024668001, GSVIVG01032756001
OG0000440	AT2G17787, AT4G35940	GSVIVG01009951001, GSVIVG01018727001, GSVIVG01024025001
OG0000441	AT2G19160, AT4G30060, AT4G31350	GSVIVG01010878001, GSVIVG01035543001
OG0000442	AT2G19680, AT4G26210, AT4G29480	GSVIVG01014564001, GSVIVG01035352001
OG0000443	AT2G19760, AT5G56600	GSVIVG01015281001, GSVIVG01016960001, GSVIVG01035320001
OG0000444	AT2G21240, AT4G38910, AT5G42520	GSVIVG01009845001, GSVIVG01024162001
OG0000445	AT2G21740, AT2G21750, AT4G39340	GSVIVG01016787001, GSVIVG01022286001
OG0000446	AT2G22290, AT2G44610, AT5G10260	GSVIVG01002273001, GSVIVG01018361001
OG0000447	AT2G22590, AT5G49690, AT5G65550	GSVIVG01026986001, GSVIVG01026987001
OG0000448	AT2G23200, AT5G24010	GSVIVG01000210001, GSVIVG01000211001, GSVIVG01000212001
OG0000449	AT2G23510, AT2G25150, AT3G47170, AT5G07080	GSVIVG01024610001
OG0000450	AT2G23520, AT4G37100, AT5G66950	GSVIVG01005083001, GSVIVG01009585001
OG0000451	AT2G23590, AT2G23600, AT2G23610, AT2G23620	GSVIVG01005065001
OG0000452	AT2G23970, AT4G30530, AT4G30540, AT4G30550	GSVIVG01023703001
OG0000453	AT2G24550, AT4G31510, AT4G31540	GSVIVG01012477001, GSVIVG01035514001
OG0000454	AT2G25180, AT4G31920, AT5G58080	GSVIVG01003721001, GSVIVG01035903001
OG0000455	AT2G25210, AT3G02190, AT4G31985	GSVIVG01001053001, GSVIVG01001055001
OG0000456	AT2G25350, AT3G15920, AT4G32160	GSVIVG01017363001, GSVIVG01035873001
OG0000457	AT2G25520, AT4G32390, AT5G11230, AT5G25400	GSVIVG01015524001
OG0000458	AT2G25760, AT3G13670	GSVIVG01017003001, GSVIVG01025385001, GSVIVG01035288001
OG0000459	AT2G27040, AT2G32940	GSVIVG01025868001, GSVIVG01030512001, GSVIVG01037488001
OG0000460	AT2G29525, AT2G37940, AT3G54020	GSVIVG01024834001, GSVIVG01034044001
OG0000461	AT2G31610, AT5G35530	GSVIVG01015110001, GSVIVG01016775001, GSVIVG01035451001
OG0000462	AT2G35930, AT3G52450	GSVIVG01011139001, GSVIVG01011140001, GSVIVG01037585001
OG0000463	AT2G37010, AT5G60740	GSVIVG01016240001, GSVIVG01025230001, GSVIVG01025712001
OG0000464	AT2G37120, AT3G09735, AT3G53370	GSVIVG01025155001, GSVIVG01025648001
OG0000465	AT2G37600, AT3G53740, AT5G02450	GSVIVG01026914001, GSVIVG01028917001
OG0000466	AT2G37800, AT2G37805, AT2G37810, AT2G37820	GSVIVG01034093001
OG0000467	AT2G38070, AT3G09070, AT5G01170	GSVIVG01024799001, GSVIVG01034008001
OG0000468	AT2G38230, AT3G16050, AT5G01410	GSVIVG01017087001, GSVIVG01024735001
OG0000469	AT2G38370, AT3G51730, AT5G01800	GSVIVG01030214001, GSVIVG01030215001
OG0000470	AT2G39390, AT3G09500, AT3G55170, AT5G02610	GSVIVG01025050001
OG0000471	AT2G39400, AT2G39410, AT2G39420, AT3G55180	GSVIVG01005971001
OG0000472	AT2G39880, AT3G09230, AT3G55730	GSVIVG01016393001, GSVIVG01034041001
OG0000473	AT2G40010, AT3G09200, AT3G11250	GSVIVG01016313001, GSVIVG01032857001
OG0000474	AT2G40435, AT3G56220	GSVIVG01024605001, GSVIVG01030222001, GSVIVG01032720001
OG0000475	AT2G40510, AT2G40590, AT3G56340	GSVIVG01024576001, GSVIVG01032696001
OG0000476	AT2G42520, AT3G58510, AT3G58570	GSVIVG01001348001, GSVIVG01033437001
OG0000477	AT2G42740, AT3G58700, AT4G18730, AT5G45775	GSVIVG01020743001
OG0000478	AT2G45250, AT4G38280	GSVIVG01009897001, GSVIVG01023888001, GSVIVG01026659001
OG0000479	AT2G46710, AT5G22400	GSVIVG01027410001, GSVIVG01033865001, GSVIVG01036109001
OG0000480	AT3G02020, AT5G13280, AT5G14060	GSVIVG01004941001, GSVIVG01032996001
OG0000481	AT3G02160, AT4G34340, AT5G15570	GSVIVG01025729001, GSVIVG01032913001
OG0000482	AT3G02440, AT5G15890, AT5G15900	GSVIVG01036469001, GSVIVG01036470001
OG0000483	AT3G02860	GSVIVG01015997001, GSVIVG01015998001, GSVIVG01016005001, GSVIVG01016007001
OG0000484	AT3G03980, AT3G04000, AT4G13180, AT5G18210	GSVIVG01033387001
OG0000485	AT3G04810, AT3G63280, AT5G28290	GSVIVG01001199001, GSVIVG01021831001
OG0000486	AT3G04860, AT5G28150	GSVIVG01001164001, GSVIVG01017961001, GSVIVG01021840001
OG0000487	AT3G04910, AT3G48260	GSVIVG01007637001, GSVIVG01017968001, GSVIVG01021854001
OG0000488	AT3G05750, AT3G58650, AT5G26910	GSVIVG01031214001, GSVIVG01035042001
OG0000489	AT3G05960, AT5G26250	GSVIVG01000851001, GSVIVG01016148001, GSVIVG01017935001
OG0000490	AT3G06740, AT5G26930, AT5G49300	GSVIVG01031203001, GSVIVG01035048001
OG0000491	AT3G08990, AT3G55890	GSVIVG01032841001, GSVIVG01032842001, GSVIVG01033969001
OG0000492	AT3G09710, AT3G52290, AT5G03040	GSVIVG01016320001, GSVIVG01025635001
OG0000493	AT3G11400, AT5G06000	GSVIVG01016472001, GSVIVG01024872001, GSVIVG01034107001
OG0000494	AT3G11773, AT5G01420, AT5G06470	GSVIVG01022568001, GSVIVG01034614001
OG0000495	AT3G12130, AT5G06770	GSVIVG01001369001, GSVIVG01025360001, GSVIVG01033508001
OG0000496	AT3G12250, AT5G06950, AT5G06960	GSVIVG01033632001, GSVIVG01036649001
OG0000497	AT3G13224, AT5G40490	GSVIVG01012784001, GSVIVG01014729001, GSVIVG01032402001
OG0000498	AT3G14470	GSVIVG01001446001, GSVIVG01013307001, GSVIVG01022941001, GSVIVG01023011001
OG0000499	AT3G15720	GSVIVG01017302001, GSVIVG01017305001, GSVIVG01017307001, GSVIVG01038447001
OG0000500	AT3G17380	GSVIVG01037800001, GSVIVG01037804001, GSVIVG01037805001, GSVIVG01037806001
OG0000501	AT3G18670	GSVIVG01011204001, GSVIVG01011219001, GSVIVG01026533001, GSVIVG01026534001
OG0000502	AT3G22760, AT3G22780, AT4G14770	GSVIVG01018021001, GSVIVG01021837001
OG0000503	AT3G23830, AT4G13850, AT5G47320	GSVIVG01027360001, GSVIVG01038017001
OG0000504	AT3G23840, AT4G13840, AT4G24510	GSVIVG01009186001, GSVIVG01021019001
OG0000505	AT3G27380, AT5G40650, AT5G65165	GSVIVG01003975001, GSVIVG01005872001
OG0000506	AT3G29639, AT5G11430, AT5G25520	GSVIVG01015599001, GSVIVG01035723001
OG0000507	AT3G42640, AT4G30190	GSVIVG01001052001, GSVIVG01016862001, GSVIVG01029244001
OG0000508	AT3G45140	GSVIVG01025339001, GSVIVG01025340001, GSVIVG01025342001, GSVIVG01032029001
OG0000509	AT3G48720, AT5G41040, AT5G63560	GSVIVG01008586001, GSVIVG01030078001
OG0000510	AT3G50440	GSVIVG01005061001, GSVIVG01005062001, GSVIVG01005064001, GSVIVG01005067001
OG0000511	AT3G50930, AT3G50940	GSVIVG01010372001, GSVIVG01010373001, GSVIVG01023810001
OG0000512	AT3G54720	GSVIVG01005700001, GSVIVG01005992001, GSVIVG01006347001, GSVIVG01022505001
OG0000513	AT3G60330, AT5G62670	GSVIVG01008074001, GSVIVG01018265001, GSVIVG01032599001
OG0000514	AT3G60415, AT3G60420, AT3G60440, AT3G60450	GSVIVG01018233001
OG0000515	AT3G61740, AT4G27910, AT5G53430	GSVIVG01027118001, GSVIVG01038708001
OG0000516	AT3G62900, AT4G15730	GSVIVG01000093001, GSVIVG01010964001, GSVIVG01017765001
OG0000517	AT3G63060, AT5G15440, AT5G39360	GSVIVG01011098001, GSVIVG01011492001
OG0000518	AT3G63130, AT5G19320	GSVIVG01011081001, GSVIVG01014452001, GSVIVG01017922001
OG0000519	AT4G00770, AT4G11780, AT4G23020	GSVIVG01019863001, GSVIVG01027598001
OG0000520	AT4G05110, AT4G05120, AT4G05130, AT4G05140	GSVIVG01000457001
OG0000521	AT4G05540, AT5G37140, AT5G37150, AT5G37165, AT5G52090	
OG0000522	AT4G10265, AT4G10270	GSVIVG01014446001, GSVIVG01029998001, GSVIVG01030001001
OG0000523	AT4G10310	GSVIVG01010919001, GSVIVG01010921001, GSVIVG01010922001, GSVIVG01010937001
OG0000524	AT4G10490, AT4G10500	GSVIVG01019695001, GSVIVG01019696001, GSVIVG01027454001
OG0000525	AT4G12600, AT4G22380, AT5G20160	GSVIVG01015520001, GSVIVG01016438001
OG0000526	AT4G13770, AT4G31500	GSVIVG01009848001, GSVIVG01009854001, GSVIVG01009855001
OG0000527	AT4G16720, AT4G17390	GSVIVG01007404001, GSVIVG01014039001, GSVIVG01018183001
OG0000528	AT4G17030	GSVIVG01004469001, GSVIVG01004595001, GSVIVG01005915001, GSVIVG01005917001
OG0000529	AT4G17280, AT5G35735, AT5G47530	GSVIVG01006721001, GSVIVG01030035001
OG0000530	AT4G19810, AT4G19820	GSVIVG01001068001, GSVIVG01001074001, GSVIVG01003718001
OG0000531	AT4G20990, AT4G21000	GSVIVG01005048001, GSVIVG01005049001, GSVIVG01033673001
OG0000532	AT4G25410, AT5G51790	GSVIVG01018459001, GSVIVG01018460001, GSVIVG01018461001
OG0000533	AT4G26590, AT5G55930	GSVIVG01014720001, GSVIVG01014721001, GSVIVG01014724001
OG0000534	AT4G27190	GSVIVG01014595001, GSVIVG01014596001, GSVIVG01037444001, GSVIVG01038056001
OG0000535	AT4G30380	GSVIVG01011613001, GSVIVG01028427001, GSVIVG01033173001, GSVIVG01033174001
OG0000536	AT4G30880, AT4G33550	GSVIVG01000854001, GSVIVG01000855001, GSVIVG01000856001
OG0000537	AT4G32790, AT5G25820, AT5G37000	GSVIVG01015330001, GSVIVG01035630001
OG0000538	AT4G37930, AT5G26780	GSVIVG01003852001, GSVIVG01003859001, GSVIVG01009226001
OG0000539	AT4G39830	GSVIVG01022165001, GSVIVG01022168001, GSVIVG01022172001, GSVIVG01022181001
OG0000540	AT5G02510, AT5G32440	GSVIVG01015583001, GSVIVG01017350001, GSVIVG01034201001
OG0000541	AT5G07940, AT5G07970, AT5G07980	GSVIVG01007885001, GSVIVG01032923001
OG0000542	AT5G08670, AT5G08680, AT5G08690	GSVIVG01008378001, GSVIVG01011797001
OG0000543	AT5G10520, AT5G65530	GSVIVG01002525001, GSVIVG01002864001, GSVIVG01004383001
OG0000544	AT5G10750, AT5G24990, AT5G25010, AT5G25020	GSVIVG01036028001
OG0000545	AT5G13750	GSVIVG01025827001, GSVIVG01027385001, GSVIVG01027391001, GSVIVG01027394001
OG0000546	AT5G22860	GSVIVG01005022001, GSVIVG01031435001, GSVIVG01031436001, GSVIVG01031440001
OG0000547	AT5G23610, AT5G51330	GSVIVG01000236001, GSVIVG01002693001, GSVIVG01003609001
OG0000548	AT5G36160	GSVIVG01020585001, GSVIVG01020588001, GSVIVG01020592001, GSVIVG01020594001
OG0000549	AT5G45500, AT5G45520	GSVIVG01015664001, GSVIVG01015668001, GSVIVG01015778001
OG0000550	AT5G50570, AT5G50670	GSVIVG01008556001, GSVIVG01010522001, GSVIVG01033064001
OG0000551	AT5G60900	GSVIVG01001679001, GSVIVG01026547001, GSVIVG01026551001, GSVIVG01026570001
OG0000552	AT5G62360	GSVIVG01018604001, GSVIVG01018606001, GSVIVG01018607001, GSVIVG01018608001
OG0000553	AT5G64160	GSVIVG01003083001, GSVIVG01003087001, GSVIVG01003093001, GSVIVG01013334001
OG0000554	AT5G66870	GSVIVG01003546001, GSVIVG01003548001, GSVIVG01004323001, GSVIVG01018486001
OG0000555		GSVIVG01004328001, GSVIVG01006044001, GSVIVG01006626001, GSVIVG01009052001, GSVIVG01009062001
OG0000556	AT1G01050, AT2G46860, AT4G01480	GSVIVG01019697001
OG0000557	AT1G01110, AT4G00820	GSVIVG01019668001, GSVIVG01027429001
OG0000558	AT1G01650, AT1G63690	GSVIVG01019744001, GSVIVG01026938001
OG0000559	AT1G01715, AT4G00525	GSVIVG01018349001, GSVIVG01026900001
OG0000560	AT1G01780, AT2G45800, AT3G61230	GSVIVG01019807001
OG0000561	AT1G02010	GSVIVG01016199001, GSVIVG01026673001, GSVIVG01027604001
OG0000562	AT1G02300, AT1G02305, AT4G01610	GSVIVG01028272001
OG0000563	AT1G02380, AT4G01960	GSVIVG01031256001, GSVIVG01034962001
OG0000564	AT1G02670, AT1G05120	GSVIVG01012697001, GSVIVG01030444001
OG0000565	AT1G02810, AT2G47550, AT4G02330	GSVIVG01028040001
OG0000566	AT1G02816, AT4G02370	GSVIVG01031173001, GSVIVG01031179001
OG0000567	AT1G02850	GSVIVG01028001001, GSVIVG01028004001, GSVIVG01028006001
OG0000568	AT1G03040, AT4G02590	GSVIVG01000717001, GSVIVG01018094001
OG0000569	AT1G03080, AT3G22790, AT4G14760	GSVIVG01018023001
OG0000570	AT1G03100, AT3G22640	GSVIVG01001185001, GSVIVG01001186001
OG0000571	AT1G03380, AT1G54710	GSVIVG01011044001, GSVIVG01022020001
OG0000572	AT1G03770, AT5G44280	GSVIVG01020579001, GSVIVG01021091001
OG0000573	AT1G03870, AT2G20520, AT5G44130	GSVIVG01020616001
OG0000574	AT1G04000, AT3G23440, AT5G44060	GSVIVG01027861001
OG0000575	AT1G04070, AT5G43970	GSVIVG01027914001, GSVIVG01028415001
OG0000576	AT1G04140, AT5G43930	GSVIVG01001859001, GSVIVG01028455001
OG0000577	AT1G04580, AT2G27150	GSVIVG01025879001, GSVIVG01037549001
OG0000578	AT1G04700, AT3G46920	GSVIVG01012895001, GSVIVG01029055001
OG0000579	AT1G05160, AT2G32440	GSVIVG01018397001, GSVIVG01018398001
OG0000580	AT1G05210, AT1G05220, AT2G32380	GSVIVG01030603001
OG0000581	AT1G05230, AT4G04890	GSVIVG01012643001, GSVIVG01030605001
OG0000582	AT1G05675, AT1G05680	GSVIVG01038204001, GSVIVG01038207001
OG0000583	AT1G05850, AT3G16920	GSVIVG01031685001, GSVIVG01035029001
OG0000584	AT1G05870, AT2G31560, AT2G43340	GSVIVG01010739001
OG0000585	AT1G06770, AT2G30580	GSVIVG01000748001, GSVIVG01036276001
OG0000586	AT1G06890, AT2G30460	GSVIVG01024574001, GSVIVG01032677001
OG0000587	AT1G07160, AT2G30020	GSVIVG01024710001, GSVIVG01032793001
OG0000588	AT1G07410, AT3G46830, AT5G59150	GSVIVG01016457001
OG0000589	AT1G07770, AT3G46040, AT5G59850	GSVIVG01025622001
OG0000590	AT1G07780, AT1G29410, AT5G05590	GSVIVG01032805001
OG0000591	AT1G08650, AT3G04530	GSVIVG01023539001, GSVIVG01027804001
OG0000592	AT1G08800, AT2G30690	GSVIVG01000763001, GSVIVG01036252001
OG0000593	AT1G09350, AT1G56600, AT2G47180	GSVIVG01031274001
OG0000594	AT1G09640, AT1G57720	GSVIVG01023227001, GSVIVG01023228001
OG0000595	AT1G09720, AT1G58215	GSVIVG01007135001, GSVIVG01009183001
OG0000596	AT1G10300, AT1G50920	GSVIVG01025272001, GSVIVG01034588001
OG0000597	AT1G10360, AT1G10370	GSVIVG01020100001, GSVIVG01020103001
OG0000598	AT1G10400, AT2G16890, AT5G14860	GSVIVG01007781001
OG0000599	AT1G10650, AT1G60610	GSVIVG01007729001, GSVIVG01013775001
OG0000600	AT1G11160, AT1G61210	GSVIVG01002544001, GSVIVG01004511001
OG0000601	AT1G11200, AT4G21570	GSVIVG01006710001, GSVIVG01014421001
OG0000602	AT1G11360, AT4G27320, AT5G54430	GSVIVG01003679001
OG0000603	AT1G12240, AT1G62660	GSVIVG01001272001, GSVIVG01018625001
OG0000604	AT1G12260, AT1G62700	GSVIVG01001264001, GSVIVG01018623001
OG0000605	AT1G12940, AT4G14358	GSVIVG01013803001, GSVIVG01032430001
OG0000606	AT1G13050, AT4G26490, AT5G56050	GSVIVG01014834001
OG0000607	AT1G13230, AT1G68780, AT3G25670	GSVIVG01011974001
OG0000608	AT1G13450, AT3G25990	GSVIVG01001843001, GSVIVG01010324001
OG0000609	AT1G13640, AT1G26270, AT2G03890	GSVIVG01036529001
OG0000610	AT1G13810, AT1G67660	GSVIVG01010323001, GSVIVG01024282001
OG0000611	AT1G13880, AT2G03470	GSVIVG01007928001, GSVIVG01011506001
OG0000612	AT1G14230, AT1G14250, AT2G02970	GSVIVG01019977001
OG0000613	AT1G14320, AT1G26910, AT1G66580	GSVIVG01024537001
OG0000614	AT1G14430, AT3G57620	GSVIVG01019657001, GSVIVG01021883001
OG0000615	AT1G14900	GSVIVG01011701001, GSVIVG01016119001, GSVIVG01034730001
OG0000616	AT1G15010, AT2G01300	GSVIVG01030897001, GSVIVG01030903001
OG0000617	AT1G15400, AT1G80180, AT5G20100	GSVIVG01035828001
OG0000618	AT1G15550, AT1G80340	GSVIVG01017173001, GSVIVG01017178001
OG0000619	AT1G15690	GSVIVG01012841001, GSVIVG01017424001, GSVIVG01031230001
OG0000620	AT1G15710, AT5G34930	GSVIVG01017443001, GSVIVG01017448001
OG0000621	AT1G15780	GSVIVG01022350001, GSVIVG01025805001, GSVIVG01027202001
OG0000622	AT1G15810, AT1G80620	GSVIVG01026722001, GSVIVG01026738001
OG0000623	AT1G15910, AT4G00380	GSVIVG01010889001, GSVIVG01010892001
OG0000624	AT1G15930, AT2G32060	GSVIVG01023591001, GSVIVG01034219001
OG0000625	AT1G17030, AT2G47010	GSVIVG01021266001, GSVIVG01028260001
OG0000626	AT1G17100, AT1G78450, AT1G78460	GSVIVG01001082001
OG0000627	AT1G17240, AT1G17250, AT1G72300	GSVIVG01016648001
OG0000628	AT1G17270, AT1G53770, AT5G50420	GSVIVG01016658001
OG0000629	AT1G17550, AT1G72770	GSVIVG01016816001, GSVIVG01035420001
OG0000630	AT1G17710, AT1G73010	GSVIVG01016881001, GSVIVG01016883001
OG0000631	AT1G17780, AT1G73130, AT2G16575	GSVIVG01014227001
OG0000632	AT1G17860	GSVIVG01012920001, GSVIVG01012922001, GSVIVG01012936001
OG0000633	AT1G18350, AT1G73500, AT3G06230	GSVIVG01008476001
OG0000634	AT1G18360, AT1G73480	GSVIVG01000397001, GSVIVG01000399001
OG0000635	AT1G18450, AT1G73910	GSVIVG01008254001, GSVIVG01008255001
OG0000636	AT1G18590, AT1G74090, AT1G74100	GSVIVG01034455001
OG0000637	AT1G18620, AT1G74160	GSVIVG01008110001, GSVIVG01032914001
OG0000638	AT1G18740, AT1G43630, AT1G74450	GSVIVG01029699001
OG0000639	AT1G18800, AT1G74560	GSVIVG01008022001, GSVIVG01011390001
OG0000640	AT1G18910, AT1G74770	GSVIVG01008081001, GSVIVG01011864001
OG0000641	AT1G19010, AT1G74860	GSVIVG01007845001, GSVIVG01032571001
OG0000642	AT1G19350, AT1G75080, AT3G50750	GSVIVG01009656001
OG0000643	AT1G19480, AT1G75230	GSVIVG01009720001, GSVIVG01018948001
OG0000644	AT1G19840, AT1G75590, AT5G10990	GSVIVG01024152001
OG0000645	AT1G20020, AT5G66190	GSVIVG01009925001, GSVIVG01018772001
OG0000646	AT1G20090, AT1G75840	GSVIVG01009947001, GSVIVG01024029001
OG0000647	AT1G20640, AT1G76350	GSVIVG01013370001, GSVIVG01023886001
OG0000648	AT1G20650, AT1G76370	GSVIVG01013378001, GSVIVG01023877001
OG0000649	AT1G20693, AT1G20696	GSVIVG01013385001, GSVIVG01026642001
OG0000650	AT1G21650, AT1G21651	GSVIVG01008813001, GSVIVG01008814001
OG0000651	AT1G22030, AT1G77855	GSVIVG01008955001, GSVIVG01022844001
OG0000652	AT1G22130, AT1G77950, AT1G77980	GSVIVG01022182001
OG0000653	AT1G22240, AT1G78160	GSVIVG01009020001, GSVIVG01038732001
OG0000654	AT1G22310	GSVIVG01009040001, GSVIVG01015726001, GSVIVG01020418001
OG0000655	AT1G22410	GSVIVG01004278001, GSVIVG01006634001, GSVIVG01009070001
OG0000656	AT1G22780, AT1G34030, AT4G09800	GSVIVG01034582001
OG0000657	AT1G22990, AT1G71050	GSVIVG01011778001, GSVIVG01030883001
OG0000658	AT1G23010, AT1G71040	GSVIVG01011773001, GSVIVG01011776001
OG0000659	AT1G23100	GSVIVG01011742001, GSVIVG01025759001, GSVIVG01037354001
OG0000660	AT1G23170, AT1G70770	GSVIVG01011708001, GSVIVG01030770001
OG0000661	AT1G23290, AT1G70600	GSVIVG01007667001, GSVIVG01032405001
OG0000662	AT1G23320, AT1G70560	GSVIVG01004095001, GSVIVG01006656001
OG0000663	AT1G23550, AT1G70440	GSVIVG01007754001, GSVIVG01013740001
OG0000664	AT1G23760, AT1G60390, AT1G70370	GSVIVG01007771001
OG0000665	AT1G23830, AT1G23840, AT1G23850	GSVIVG01004279001
OG0000666	AT1G23870, AT1G60140, AT1G70290	GSVIVG01007789001
OG0000667	AT1G24180, AT1G59900	GSVIVG01016131001, GSVIVG01020139001
OG0000668	AT1G24240, AT4G11630, AT5G11750	GSVIVG01007636001
OG0000669	AT1G24300, AT1G27430	GSVIVG01000922001, GSVIVG01033051001
OG0000670	AT1G25280, AT1G43640, AT1G76900	GSVIVG01029701001
OG0000671	AT1G25340, AT1G68320	GSVIVG01008303001, GSVIVG01011872001
OG0000672	AT1G26310, AT5G60910	GSVIVG01008140001, GSVIVG01012250001
OG0000673	AT1G26780, AT1G69560	GSVIVG01011436001, GSVIVG01019967001
OG0000674	AT1G26830, AT1G69670	GSVIVG01011387001, GSVIVG01020008001
OG0000675	AT1G26870, AT5G39820	GSVIVG01011420001, GSVIVG01019993001
OG0000676	AT1G26960, AT1G69780	GSVIVG01011377001, GSVIVG01020033001
OG0000677	AT1G27210, AT5G62580	GSVIVG01007847001, GSVIVG01020135001
OG0000678	AT1G27370, AT5G43270	GSVIVG01010496001, GSVIVG01032239001
OG0000679	AT1G27500, AT3G27960	GSVIVG01007760001, GSVIVG01032474001
OG0000680	AT1G27690, AT1G49840, AT3G19540	GSVIVG01037884001
OG0000681	AT1G28050, AT2G33500	GSVIVG01000951001, GSVIVG01033017001
OG0000682	AT1G28220, AT1G28230, AT2G33750	GSVIVG01009073001
OG0000683	AT1G28280, AT2G33780, AT3G15300	GSVIVG01007285001
OG0000684	AT1G28395, AT2G33847	GSVIVG01020598001, GSVIVG01021106001
OG0000685	AT1G28420, AT5G44180	GSVIVG01020605001, GSVIVG01021113001
OG0000686	AT1G29140, AT4G18596, AT5G45880	GSVIVG01021211001
OG0000687	AT1G29250, AT2G34160	GSVIVG01015516001, GSVIVG01017289001
OG0000688	AT1G29310, AT1G78720, AT2G34250	GSVIVG01014171001
